id,host_response_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Label,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_time_nan,property_type_Apartment,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,host_tenure,is_new_host,number_of_host_verifications,Amenties Include TV,Amenties Include Air conditioning,Amenties Include Wheelchair accessible,Amenties Include Elevator,Amenties Include Washer,Amenties Include Dryer,Amenties Include Internet,Amenties Include Wifi,Amenties Include Gym,Amenties Include parking,Amenties Include Pets,Amenties Include Dishes and silverware,Amenties Include Coffee maker,Amenties Include Microwave,Amenties Include Refrigerator,offers_weekly_price,offers_monthly_price,charges_security_deposit,charges_cleaning_fee
34371913.0,100.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,75.0,0.0,20.0,1.0,20.0,1.0,1125.0,0,0,0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2078.0,0,6,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
34373538.0,100.0,1.0,1.0,0.0,7.0,2.0,3.0,3.0,399.0,200.0,120.0,4.0,25.0,6.0,70.0,1,0,0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
34373985.0,95.0,7.0,1.0,0.0,2.0,1.0,1.0,1.0,85.0,300.0,50.0,1.0,40.0,3.0,1125.0,0,0,0,0.0,6.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1311.0,0,4,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
34374201.0,100.0,2.0,1.0,0.0,4.0,1.0,2.0,2.0,100.0,200.0,150.0,4.0,50.0,2.0,28.0,1,0,0,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,884.0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
34378303.0,93.24785309702177,1.0,1.0,0.0,2.0,1.0,1.0,0.0,65.0,0.0,0.0,1.0,0.0,3.0,7.0,0,0,0,0.0,1.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,1,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
34389896.0,100.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,55.0,0.0,20.0,1.0,15.0,1.0,15.0,1,0,0,0.0,2.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,1,7,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
34390308.0,100.0,8.0,1.0,0.0,2.0,1.0,1.0,1.0,75.0,150.0,60.0,2.0,35.0,1.0,30.0,0,0,0,2.0,5.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1413.0,0,5,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1
34390910.0,100.0,8.0,1.0,0.0,2.0,1.0,1.0,1.0,150.0,250.0,60.0,1.0,35.0,2.0,1125.0,0,0,0,2.0,5.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1413.0,0,5,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1
34391029.0,100.0,1.0,1.0,0.0,5.0,2.0,2.0,2.0,250.0,200.0,100.0,4.0,25.0,5.0,74.0,1,0,0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
34391036.0,100.0,8.0,1.0,0.0,4.0,1.0,1.0,2.0,150.0,250.0,60.0,1.0,35.0,1.0,30.0,0,0,0,2.0,5.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1413.0,0,5,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
