,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.state,venue.location.city
29,4ca87e7dd971b1f7c8df14e1,East River Running Path,FDR Dr,at Delancey St,40.722409,-73.974076,"[{'label': 'display', 'lat': 40.722409, 'lng': -73.974076}]",Manhattan,30,,,,
30,4a6b8bf4f964a52018cf1fe3,Bethesda Fountain,Terrace Dr,Central Park,40.77429373881737,-73.9708399772644,"[{'label': 'display', 'lat': 40.77429373881737, 'lng': -73.9708399772644}]",Manhattan,31,,,,
31,5afe1a97c62b49002c806600,Trader Joe's,233 Spring Street,,40.72561105671141,-74.00498490487023,"[{'label': 'display', 'lat': 40.72561105671141, 'lng': -74.00498490487023}]",Manhattan,32,,,,
32,4abe7f9ef964a520068e20e3,One World Trade Center,1 World Trade Ctr,btwn Fulton & West St,40.71306941116871,-74.01313304901123,"[{'label': 'display', 'lat': 40.71306941116871, 'lng': -74.01313304901123}]",Manhattan,33,,,,
33,42893400f964a52054231fe3,Statue of Liberty,Liberty Island,,40.68938393386952,-74.04460072517395,"[{'label': 'display', 'lat': 40.68938393386952, 'lng': -74.04460072517395}]",Manhattan,34,,,,
34,4c30f3c166e40f477d4fc48b,Metropolitan Museum Steps,1000 5th Ave,at 82nd St,40.77906283716806,-73.96251440048218,"[{'label': 'display', 'lat': 40.77906283716806, 'lng': -73.96251440048218}]",Manhattan,35,,,,
35,5b4fc2b467af3a002c9ab00f,The Rooftop @ Pier 17,89 South St,,40.70546283217086,-74.00159777553358,"[{'label': 'display', 'lat': 40.70546283217086, 'lng': -74.00159777553358}]",Manhattan,36,,,,
36,4ba0e528f964a5205c8537e3,Pier 26 - Hudson River Park,West St,at Beach St,40.72094711352765,-74.0129479765892,"[{'label': 'display', 'lat': 40.72094711352765, 'lng': -74.0129479765892}]",Manhattan,37,,,,
37,4b929790f964a5209a0734e3,Nelson A. Rockefeller Park,North end of Battery Park City & West of River Terrace,at Warren  St,40.717094779422354,-74.01671648025513,"[{'label': 'display', 'lat': 40.717094779422354, 'lng': -74.01671648025513}]",Manhattan,38,,,,
38,4af5a46af964a520b5fa21e3,Museum of Modern Art (MoMA),11 W 53rd St,btwn 5th & 6th Ave,40.76141150395245,-73.97746170919268,,Manhattan,39,,,,
39,4a9ad8d2f964a520213320e3,Conservatory Garden,1231 5th Ave,at 105th St,40.793531,-73.952032,"[{'label': 'display', 'lat': 40.793531, 'lng': -73.952032}]",Manhattan,40,,,,
40,4e2b293ee4cd3bc166926781,Brooklyn Bridge Park - Pier 5,Brooklyn Bridge Pk Greenway,at Joralemon St,40.694918,-74.001686,"[{'label': 'display', 'lat': 40.694918, 'lng': -74.001686}]",Manhattan,41,,,,
41,4a58f59ef964a5204eb81fe3,Pier 45,West St,Christopher St,40.733159729939636,-74.01187727363377,"[{'label': 'display', 'lat': 40.733159729939636, 'lng': -74.01187727363377}]",Manhattan,42,,,,
42,4e653fd745ddda352ac83d80,Riverside Park Promenade,Riverside Dr,at W 83rd St,40.788761710401126,-73.98291397770349,"[{'label': 'display', 'lat': 40.788761710401126, 'lng': -73.98291397770349}]",Manhattan,43,,,,
43,4c1164576e5dc9b69506b02d,Battery Park City Esplanade,Battery Park City,From Chambers St to Battery Park,40.71162184551406,-74.01790738105774,"[{'label': 'display', 'lat': 40.71162184551406, 'lng': -74.01790738105774}]",Manhattan,44,,,,
44,4a3d4aecf964a52012a21fe3,St. Patrick's Cathedral,14 E 51st St,at 5th Ave,40.758627238578065,-73.97639751434325,"[{'label': 'display', 'lat': 40.758627238578065, 'lng': -73.97639751434325}]",Manhattan,45,,,,
45,4a55218af964a520b8b31fe3,NYPL Schomburg Center for Research in Black Culture,515 Malcolm X Blvd,at W 135th St,40.81457529607425,-73.94092798233032,"[{'label': 'display', 'lat': 40.81457529607425, 'lng': -73.94092798233032}, {'label': 'entrance', 'lat': 40.814673, 'lng': -73.940762}]",Manhattan,46,,,,
46,4161e400f964a520721d1fe3,Radio City Music Hall,1260 Avenue of the Americas,at W 50th St,40.759850056828405,-73.97934397752239,"[{'label': 'display', 'lat': 40.759850056828405, 'lng': -73.97934397752239}]",Manhattan,47,,,,
47,576c2212498e72c8c38f1ddd,Liberty Park,Liberty St,at West St,40.71038391621699,-74.01386844682942,"[{'label': 'display', 'lat': 40.71038391621699, 'lng': -74.01386844682942}]",Manhattan,48,,,,
48,4ed6adfce5fabbd89f617d4f,Hudson River Greenway Running Path,Hudson River Greenway,btwn Battery Park & W 72nd St,40.73255155774,-74.01057958602905,"[{'label': 'display', 'lat': 40.73255155774, 'lng': -74.01057958602905}]",Manhattan,49,,,,
49,49ef71e3f964a520b8681fe3,Books Kinokuniya,1073 Avenue of the Americas,btwn W 40th & W 41st St,40.75405320187223,-73.98464945969599,"[{'label': 'display', 'lat': 40.75405320187223, 'lng': -73.98464945969599}]",Manhattan,50,,,,
0,4b7ffcd1f964a520e94830e3,Kensington Gardens,Kensington Rd,Bayswater Rd,51.506765853364506,-0.18037319183349607,"[{'label': 'display', 'lat': 51.506765853364506, 'lng': -0.18037319183349607}]",Kensington,1,,,,
1,4ac518cef964a52027a620e3,Holland Park,Ilchester Pl,,51.503147775328806,-0.20415301522007212,"[{'label': 'display', 'lat': 51.503147775328806, 'lng': -0.20415301522007212}]",Kensington,2,,,,
2,4acaf933f964a52031c320e3,Portobello Road Market,Portobello Rd,,51.514331247292404,-0.20407319068908691,"[{'label': 'display', 'lat': 51.514331247292404, 'lng': -0.20407319068908691}]",Kensington,3,,,,
3,4ff96e9ee4b0211bc39cb3e5,Fait Maison,50 Gloucester Rd,,51.49809715890966,-0.18384933471679688,"[{'label': 'display', 'lat': 51.49809715890966, 'lng': -0.18384933471679688}]",Kensington,4,,,,
4,4ae346b5f964a520bf9221e3,Waitrose & Partners,Westfield London Shopping Centre,,51.506385,-0.219069,"[{'label': 'display', 'lat': 51.506385, 'lng': -0.219069}]",Kensington,5,,,,
5,4b4ac16af964a520f48d26e3,Waitrose & Partners,38 Porchester Road,,51.5163456,-0.1873467,"[{'label': 'display', 'lat': 51.5163456, 'lng': -0.1873467}]",Kensington,6,,,,
6,4ac518f4f964a520e9ae20e3,Whole Foods Market,63-97 Kensington High St,The Barkers Building,51.50171575044637,-0.19017934799194333,"[{'label': 'display', 'lat': 51.50171575044637, 'lng': -0.19017934799194333}]",Kensington,7,,,,
7,4b82cfe5f964a520a7e630e3,Sainsbury's,158a Cromwell Road,,51.49548326240101,-0.18821054834103457,"[{'label': 'display', 'lat': 51.49548326240101, 'lng': -0.18821054834103457}]",Kensington,8,,,,
8,4ac518cef964a52013a620e3,Kensington Palace,Palace Ave,Studio Walk,51.50521656213085,-0.18784046173095703,"[{'label': 'display', 'lat': 51.50521656213085, 'lng': -0.18784046173095703}]",Kensington,9,,,,
9,4ba64941f964a520894239e3,Waitrose & Partners,128 Gloucester Road,Gloucester Arcade,51.4945658,-0.1833558,"[{'label': 'display', 'lat': 51.4945658, 'lng': -0.1833558}]",Kensington,10,,,,
10,57d5606a498e432cab0a7099,The Design Museum,224-238 Kensington High St,,51.49978541909211,-0.1996407067827977,"[{'label': 'display', 'lat': 51.49978541909211, 'lng': -0.1996407067827977}]",Kensington,11,,,,
11,5a08ab31dec1d60b246b1ad9,Dishoom,4 Derry St,,51.501301447858175,-0.1911703486882197,"[{'label': 'display', 'lat': 51.501301447858175, 'lng': -0.1911703486882197}]",Kensington,12,,,,
12,5b9aa5612bf29b002e1fcb87,The Ivy Kensington Brasserie,96 Kensington High Street,,51.501452908233134,-0.19215626946783523,"[{'label': 'display', 'lat': 51.501452908233134, 'lng': -0.19215626946783523}]",Kensington,13,,,,
13,4fbd043400394dbe89e1bd09,Equinox Kensington,"99 Kensington High Street 5th floor, The Roof Gardens",Derry St,51.501369268605835,-0.19163399656567257,"[{'label': 'display', 'lat': 51.501369268605835, 'lng': -0.19163399656567257}]",Kensington,14,,,,
14,5a0d8ccc26659b31864de27b,GAIL's Bakery,240-242 High St,,51.498864146102214,-0.1996829409344499,"[{'label': 'display', 'lat': 51.498864146102214, 'lng': -0.1996829409344499}]",Kensington,15,,,,
15,59ee3b0ce97dfb5a1bdfbfeb,JOE & THE JUICE,44 Kensington High Street,,51.502339,-0.189985,"[{'label': 'display', 'lat': 51.502339, 'lng': -0.189985}]",Kensington,16,,,,
16,4ec4e8d4e5fa74ea532200f6,Granger & Co.,175 Westbourne Gr,,51.514617,-0.197768,"[{'label': 'display', 'lat': 51.514617, 'lng': -0.197768}]",Kensington,17,,,,
17,4cd05d2248b837040214f2de,Busaba Eathai,Westfield London,Southern Terrace,51.50610170758497,-0.21898532855507866,"[{'label': 'display', 'lat': 51.50610170758497, 'lng': -0.21898532855507866}]",Kensington,18,,,,
18,4c56e5981ec29521ea3cccfc,Better Kensington Leisure Centre,Silchester Road,,51.51362917410843,-0.214301423274203,"[{'label': 'display', 'lat': 51.51362917410843, 'lng': -0.214301423274203}]",Kensington,19,,,,
19,4bf568d1cad2c92886019d99,Rembrandt Gardens,6 Warvick Ave,,51.521361,-0.181417,"[{'label': 'display', 'lat': 51.521361, 'lng': -0.181417}]",Kensington,20,,,,
20,4bcd9b248920b71357eb9fdc,Diana Memorial Playground,Gate Broad Walk,Kensington Gardens,51.5088315302389,-0.18786631271111345,"[{'label': 'display', 'lat': 51.5088315302389, 'lng': -0.18786631271111345}]",Kensington,21,,,,
21,4ee61a462da504839760f8e0,"The Churchill Arms, Kensington",119 Kensington Church Street,,51.50691168923475,-0.19480103497028267,"[{'label': 'display', 'lat': 51.50691168923475, 'lng': -0.19480103497028267}]",Kensington,22,,,,
22,4b3e16c0f964a520479825e3,UNIQLO,54 - 58 Kensington High St,,51.50208609851718,-0.19018471240997314,"[{'label': 'display', 'lat': 51.50208609851718, 'lng': -0.19018471240997314}]",Kensington,23,,,,
23,4ac518e1f964a52065aa20e3,The Waterway,54 Formosa St,,51.522766435032736,-0.18780482917712882,"[{'label': 'display', 'lat': 51.522766435032736, 'lng': -0.18780482917712882}]",Kensington,24,,,,
24,4bd46b546f6495212c426dec,Kyoto Garden,Holland Park,,51.503037398205116,-0.20457208156585693,"[{'label': 'display', 'lat': 51.503037398205116, 'lng': -0.20457208156585693}]",Kensington,25,,,,
25,588c2bd3f63c540bbd57fc7f,Harbour Club Kensington,"Point West, 116 Cromwell Road, Kensington",,51.495131,-0.187962,"[{'label': 'display', 'lat': 51.495131, 'lng': -0.187962}]",Kensington,26,,,,
26,55a10838498ebf3dbf2dc0ff,Eggbreak,30 Uxbridge St,,51.5083375,-0.1978498,"[{'label': 'display', 'lat': 51.5083375, 'lng': -0.1978498}]",Kensington,27,,,,
27,4ad316edf964a52012e320e3,Pret A Manger,65 Notting Hill Gate,,51.508821507361624,-0.19673534383273017,"[{'label': 'display', 'lat': 51.508821507361624, 'lng': -0.19673534383273017}]",Kensington,28,,,,
28,4ce7d5a5baa6a1cddd0b2a6c,The Eagle,250 Ladbroke Grove,Telford Road,51.52223250393304,-0.21252751350402832,"[{'label': 'display', 'lat': 51.52223250393304, 'lng': -0.21252751350402832}]",Kensington,29,,,,
29,5b29694d916bc1003909f69e,Japan House,101-111 Kensington High St,,51.50148903103995,-0.19167029084391263,"[{'label': 'display', 'lat': 51.50148903103995, 'lng': -0.19167029084391263}]",Kensington,30,,,,
30,4b3b67e9f964a520627325e3,Virgin Active,"3rd Floor, 17A Old Court Place",,51.50264593804746,-0.18962425396728122,"[{'label': 'display', 'lat': 51.50264593804746, 'lng': -0.18962425396728122}]",Kensington,31,,,,
31,4adc4b7df964a520ab2b21e3,The Union Tavern,45 Woodfield Rd,,51.522822811670196,-0.20129908055480428,"[{'label': 'display', 'lat': 51.522822811670196, 'lng': -0.20129908055480428}]",Kensington,32,,,,
32,5a6dd36b95d986525f90ec94,Darcie & May Green,Grand Union Canal,Sheldon Sq,51.51873839820026,-0.17826301819388668,"[{'label': 'display', 'lat': 51.51873839820026, 'lng': -0.17826301819388668}]",Kensington,33,,,,
