,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state
25,585351e6158b966de04f29ed,Maison Pickle,2315 Broadway,Bet. 83rd and 84th & Broadway,40.786989737086394,-73.97778714345775,"[{'label': 'display', 'lat': 40.786989737086394, 'lng': -73.97778714345775}]",Upper West Side,26,,,,
26,5997796d603d2a7019b8c58e,THEP Thai Restaurant,1439 2nd Ave,75th St,40.770743347003574,-73.95705953980662,"[{'label': 'display', 'lat': 40.770743347003574, 'lng': -73.95705953980662}]",Upper West Side,27,,,,
27,3fd66200f964a52034e81ee3,Rosa Mexicano,61 Columbus Ave,at W 62nd St.,40.7711834505908,-73.9833246594503,"[{'label': 'display', 'lat': 40.7711834505908, 'lng': -73.9833246594503}, {'label': 'entrance', 'lat': 40.771221, 'lng': -73.983096}]",Upper West Side,28,,,,
28,5a56c404ad1789206c4c302f,Mama's Too,2750 Broadway,106th Street,40.80078,-73.967626,"[{'label': 'display', 'lat': 40.80078, 'lng': -73.967626}]",Upper West Side,29,,,,
29,3fd66200f964a520bee91ee3,Jean-Georges,1 Central Park W,btwn W 60th & W 61st St,40.76900833297408,-73.98157417774199,"[{'label': 'display', 'lat': 40.76900833297408, 'lng': -73.98157417774199}]",Upper West Side,30,,,,
30,4ae4a68ef964a520b99c21e3,Pastrami Queen,1125 Lexington Ave,at 78th St.,40.7743709,-73.9591033,"[{'label': 'display', 'lat': 40.7743709, 'lng': -73.9591033}]",Upper West Side,31,,,,
31,4be1fe8b660ec9282567c83b,Sojourn,244 E 79th St,2nd and 79th,40.773367,-73.955511,"[{'label': 'display', 'lat': 40.773367, 'lng': -73.955511}]",Upper West Side,32,,,,
32,54e76467498e5435366479ef,The Ribbon,20 W 72nd St,Central Park West and Columbus Avenue,40.77654,-73.97746,"[{'label': 'display', 'lat': 40.77654, 'lng': -73.97746}]",Upper West Side,33,,,,
33,4fbf8018e4b083733d12db5a,Saiguette,935 Columbus Ave,at W 106th St,40.79920874028028,-73.96277971431024,"[{'label': 'display', 'lat': 40.79920874028028, 'lng': -73.96277971431024}]",Upper West Side,34,,,,
34,563cf263cd107fbf89e55e19,sweetgreen,311 Amsterdam Ave,btwn W 74th St & W 75th St,40.7802977,-73.9801793,"[{'label': 'display', 'lat': 40.7802977, 'lng': -73.9801793}]",Upper West Side,35,,,,
35,4a22d7f9f964a520977d1fe3,Sant Ambroeus,1000 Madison Ave,btwn 77th & 78th St.,40.77532770471081,-73.96281878358091,"[{'label': 'display', 'lat': 40.77532770471081, 'lng': -73.96281878358091}, {'label': 'entrance', 'lat': 40.775403, 'lng': -73.962961}]",Upper West Side,36,,,,
36,545234a5498e4c349551762e,The Halal Guys,720 Amsterdam Ave,95th,40.79351975535894,-73.97088852812787,"[{'label': 'display', 'lat': 40.79351975535894, 'lng': -73.97088852812787}]",Upper West Side,37,,,,
37,5d434058ba462b0008f64658,Daily Provisions,375 Amsterdam Ave,,40.78224746176124,-73.97871494293211,"[{'label': 'display', 'lat': 40.78224746176124, 'lng': -73.97871494293211}]",Upper West Side,38,,,,
38,4dc3df7dfa76d685cdb763c2,Épicerie Boulud,1900 Broadway,at W 64th St,40.77203371788467,-73.98217041215067,"[{'label': 'display', 'lat': 40.77203371788467, 'lng': -73.98217041215067}]",Upper West Side,39,,,,
39,5580791d498e6d9239869832,sweetgreen,2937 Broadway,at W 115th St,40.8072844,-73.9647533,"[{'label': 'display', 'lat': 40.8072844, 'lng': -73.9647533}]",Upper West Side,40,,,,
40,4ce176ed94c3b60c45d876ea,Son Cubano,40-4 Riverwalk Pl,,40.78141299047381,-74.00562083419925,"[{'label': 'display', 'lat': 40.78141299047381, 'lng': -74.00562083419925}]",Upper West Side,41,,,,
41,596bfadc0d2be741e42748b7,Quality Eats,1496 2nd Ave,78th Street,40.7724573,-73.95538660000001,"[{'label': 'display', 'lat': 40.7724573, 'lng': -73.95538660000001}]",Upper West Side,42,,,,
42,3fd66200f964a520e7e71ee3,Pick-A-Bagel,1475 2nd Ave,btwn E 76th & E 77th St,40.77180469118885,-73.95612042299146,"[{'label': 'display', 'lat': 40.77180469118885, 'lng': -73.95612042299146}, {'label': 'entrance', 'lat': 40.771927, 'lng': -73.956294}]",Upper West Side,43,,,,
43,42699000f964a52049211fe3,Uva,1486 2nd Ave,btwn 77th & 78th St,40.772118,-73.95564,"[{'label': 'display', 'lat': 40.772118, 'lng': -73.95564}, {'label': 'entrance', 'lat': 40.772209, 'lng': -73.955679}]",Upper West Side,44,,,,
44,4a0accc3f964a520a9741fe3,Lenny's Bagels,2601 Broadway,at W 98th St,40.79616,-73.97103,"[{'label': 'display', 'lat': 40.79616, 'lng': -73.97103}, {'label': 'entrance', 'lat': 40.796174, 'lng': -73.970985}]",Upper West Side,45,,,,
45,590baee1cab410306bf495b2,La Esquina,1402 2nd Ave,73rd St,40.76945123405223,-73.95778164213363,"[{'label': 'display', 'lat': 40.76945123405223, 'lng': -73.95778164213363}]",Upper West Side,46,,,,
46,4c2b3c7c57a9c9b63a86f567,Mel's Burger Bar,2850 Broadway,btwn W 110th & W 111th St,40.80454679733712,-73.96632597507246,"[{'label': 'display', 'lat': 40.80454679733712, 'lng': -73.96632597507246}, {'label': 'entrance', 'lat': 40.804486, 'lng': -73.966158}]",Upper West Side,47,,,,
47,5978a3f5f427de7d9ea68121,Shake Shack,2957 Broadway,W 116th Street,40.8079332191406,-73.96401291782416,"[{'label': 'display', 'lat': 40.8079332191406, 'lng': -73.96401291782416}, {'label': 'entrance', 'lat': 40.807913, 'lng': -73.964282}]",Upper West Side,48,,,,
48,479309d9f964a520564d1fe3,Bodrum Mediterranean Restaurant,584 Amsterdam Ave,at W 88th St,40.78927368532629,-73.97382498331747,"[{'label': 'display', 'lat': 40.78927368532629, 'lng': -73.97382498331747}]",Upper West Side,49,,,,
49,5a5a9c93065ef50b1fd627b2,Parker Cafe,6504 Park Ave,65th St,40.789608,-74.00547,"[{'label': 'display', 'lat': 40.789608, 'lng': -74.00547}]",Upper West Side,50,,,,
0,4bab244cf964a5209c963ae3,McDonald's,1200 S Milwaukee Ave,at E Palatine Rd,42.10910781647732,-87.89087980985641,"[{'label': 'display', 'lat': 42.10910781647732, 'lng': -87.89087980985641}]",Prospect Heights,1,,,,
1,51b7e4f9498ebcba6dcc0a34,Union Ale House Pub,1211 S Wolf Rd,Palatine Rd,42.108658373742614,-87.90747906455495,"[{'label': 'display', 'lat': 42.108658373742614, 'lng': -87.90747906455495}, {'label': 'entrance', 'lat': 42.10844, 'lng': -87.907451}]",Prospect Heights,2,,,,
2,4ba8f8f0f964a52050ff39e3,Monica's Mexican Restaurant,636 N Milwaukee Ave,,42.10743993870174,-87.89207526038716,"[{'label': 'display', 'lat': 42.10743993870174, 'lng': -87.89207526038716}]",Prospect Heights,3,,,,
3,4c0a889f6071a593f7b2df32,Dunkin',1204 N Elmhurst Rd,at Hintz Road (inside Citgo Station),42.12340630466969,-87.93730626291057,"[{'label': 'display', 'lat': 42.12340630466969, 'lng': -87.93730626291057}]",Prospect Heights,4,,,,
4,4c641ddc79d1e21ebe34da15,Dunkin',1204 S. Milwaukee Ave,,42.10873016615889,-87.89066056989964,"[{'label': 'display', 'lat': 42.10873016615889, 'lng': -87.89066056989964}]",Prospect Heights,5,,,,
5,4c5702fc7329c9280bdf8d80,Los Posadas,1209 S Elmhurst Rd,at W Hintz Rd,42.12368435302564,-87.93668094283868,"[{'label': 'display', 'lat': 42.12368435302564, 'lng': -87.93668094283868}]",Prospect Heights,6,,,,
6,5a63cc5c5ba04643165be0aa,Tap House Grill,1090 S Milwaukee Ave,,42.114222,-87.894108,"[{'label': 'display', 'lat': 42.114222, 'lng': -87.894108}]",Prospect Heights,7,,,,
7,4fbe7c86e4b00d45e79899b2,Target Cafe,1700 E Rand Rd,,42.10230695829291,-87.96262539141054,"[{'label': 'display', 'lat': 42.10230695829291, 'lng': -87.96262539141054}]",Prospect Heights,8,,,,
8,577ee3b9498ec73cd7b803ec,Jin28,1255 N Rand Rd,,42.101383209228516,-87.9596176147461,"[{'label': 'display', 'lat': 42.101383209228516, 'lng': -87.9596176147461}]",Prospect Heights,9,,,,
9,521e8e9411d22a2fd9b6cd2f,Hot Breads,,,42.123337998280995,-87.93661874259672,"[{'label': 'display', 'lat': 42.123337998280995, 'lng': -87.93661874259672}]",Prospect Heights,10,,,,
10,4bc9fc4468f976b06c505e83,Nikko's,1421 N Rand Rd,,42.102450950091814,-87.96467879065642,"[{'label': 'display', 'lat': 42.102450950091814, 'lng': -87.96467879065642}]",Prospect Heights,11,,,,
11,4bad62d2f964a520794c3be3,Naomi Sushi,1309 N Rand Rd,,42.10028837479989,-87.96179378947407,"[{'label': 'display', 'lat': 42.10028837479989, 'lng': -87.96179378947407}]",Prospect Heights,12,,,,
12,4cf7dda455e137049f3bd5b6,SUBWAY,684 N Milwaukee Ave,,42.1075785038968,-87.89082159066226,"[{'label': 'display', 'lat': 42.1075785038968, 'lng': -87.89082159066226}]",Prospect Heights,13,,,,
13,56b54bc2498eeb26bb967aa4,El Paisa Alegre II,1 S Wolf Rd,,42.094906973931735,-87.90815518144605,"[{'label': 'display', 'lat': 42.094906973931735, 'lng': -87.90815518144605}]",Prospect Heights,14,,,,
14,4b996874f964a5204a7935e3,Allgauer's on the Riverfront,2855 Milwaukee Ave,,42.1016122,-87.8817141,"[{'label': 'display', 'lat': 42.1016122, 'lng': -87.8817141}]",Prospect Heights,15,,,,
15,4b9a847ff964a520fcbc35e3,Subway,1209 N Elmhurst Rd Ste A,W Hintz Rd,42.1235323,-87.9363275,"[{'label': 'display', 'lat': 42.1235323, 'lng': -87.9363275}]",Prospect Heights,16,,,,
16,4b7edbf9f964a520d10430e3,Jimmy John's,1204 S Milwaukee Ave,,42.10889645250844,-87.8905983694491,"[{'label': 'display', 'lat': 42.10889645250844, 'lng': -87.8905983694491}, {'label': 'entrance', 'lat': 42.108806, 'lng': -87.890537}]",Prospect Heights,17,,,,
17,55baf1d8498e268f17a446fa,Nacho's Pizza,1215 N Elmhurst Rd,,42.12393569946289,-87.93630981445312,"[{'label': 'display', 'lat': 42.12393569946289, 'lng': -87.93630981445312}]",Prospect Heights,18,,,,
18,4d56f22bd0a72c0f817c2b7c,El Pollo Real,1 S Wolf Rd Ste C,,42.094889881105566,-87.90815997150916,"[{'label': 'display', 'lat': 42.094889881105566, 'lng': -87.90815997150916}]",Prospect Heights,19,,,,
19,50ca02bf245f2d4aa8c2b12a,Frank's Place,2855 Milwaukee Ave,at Hilton,42.10159683227539,-87.88188934326172,"[{'label': 'display', 'lat': 42.10159683227539, 'lng': -87.88188934326172}]",Prospect Heights,20,,,,
20,505c6eb1e4b05db61b00a38e,Hot Breakfast Lounge,2855 Milwaukee Ave,at Hilton,42.10159683227539,-87.88188934326172,"[{'label': 'display', 'lat': 42.10159683227539, 'lng': -87.88188934326172}]",Prospect Heights,21,,,,
21,591262852ebb3456a3f1845a,Señor Pollo,1257 N Rand Rd,Thomas,42.101527,-87.960357,"[{'label': 'display', 'lat': 42.101527, 'lng': -87.960357}]",Prospect Heights,22,,,,
22,54fb476a498ed745c171b701,Lolas Pizza Palace,1279 N Rand Rd,,42.10202246385188,-87.95961392991416,"[{'label': 'display', 'lat': 42.10202246385188, 'lng': -87.95961392991416}]",Prospect Heights,23,,,,
23,4d360c6b600a721ed77cad55,New Canton Chop Suey,1201-1211 N Elmhurst Rd,,42.123363,-87.936231,"[{'label': 'display', 'lat': 42.123363, 'lng': -87.936231}, {'label': 'entrance', 'lat': 42.123367, 'lng': -87.936372}]",Prospect Heights,24,,,,
24,4c1410fba1010f47a5d74b18,Willows,,,42.10040735621853,-87.88212948052484,"[{'label': 'display', 'lat': 42.10040735621853, 'lng': -87.88212948052484}]",Prospect Heights,25,,,,
25,4e17423814957dc705cb8793,Dog Walk,Palatine Rd.,Milwaukee Ave.,42.10645913279967,-87.86813548726472,"[{'label': 'display', 'lat': 42.10645913279967, 'lng': -87.86813548726472}]",Prospect Heights,26,,,,
26,4b6afddaf964a52028eb2be3,Papa John's Pizza,1211 N Elmhurst Rd,,42.123643381049824,-87.93621343497028,"[{'label': 'display', 'lat': 42.123643381049824, 'lng': -87.93621343497028}]",Prospect Heights,27,,,,
27,51d7624e498e018878ecffad,Panera,Randhurst Mall,Rand & Euclid,42.095074817704536,-87.93373159329191,"[{'label': 'display', 'lat': 42.095074817704536, 'lng': -87.93373159329191}]",Prospect Heights,28,,,,
28,4da8d1ca5da3ba8a4762979c,Bella Strada Pizzeria,1279 N Rand Rd,at Thomas Rd.,42.1020622253418,-87.95917510986328,"[{'label': 'display', 'lat': 42.1020622253418, 'lng': -87.95917510986328}]",Prospect Heights,29,,,,
29,4eb06c6193ad8dcab74120e1,Bravo Bakery,"658 S Milwaukee Ave, Prospect Heights, IL 60070",,42.107120513916016,-87.89078521728516,"[{'label': 'display', 'lat': 42.107120513916016, 'lng': -87.89078521728516}]",Prospect Heights,30,,,,
0,4c4ce21c4237be9a86bc0a13,Chelsea Bridge Burger,Chelsea Bridge,,51.48339899394505,-0.14944760613548502,"[{'label': 'display', 'lat': 51.48339899394505, 'lng': -0.14944760613548502}]",Chelsea,1,SW11 4NJ,,,
1,57ff9176d67c6fb6e4c4e41b,Pear Tree Cafe,Battersea Park,,51.4797187463445,-0.15123687408612033,"[{'label': 'display', 'lat': 51.4797187463445, 'lng': -0.15123687408612033}]",Chelsea,2,SW11 4NJ,,,
2,4ac518d6f964a52031a820e3,Bluebird Chelsea,350 King's Rd,,51.48483510767019,-0.17521514574538485,"[{'label': 'display', 'lat': 51.48483510767019, 'lng': -0.17521514574538485}]",Chelsea,3,SW3 5UU,,,
3,4ad0a473f964a520e5d820e3,Pret A Manger,35-37 Kings Road,,51.4902682652849,-0.16183322774719455,"[{'label': 'display', 'lat': 51.4902682652849, 'lng': -0.16183322774719455}]",Chelsea,4,SW3 4NB,,,
4,595512e9bcbf7a23978fb733,Granger & Co.,237 Pavillion Rd,,51.493693391578034,-0.15876531600952148,"[{'label': 'display', 'lat': 51.493693391578034, 'lng': -0.15876531600952148}]",Chelsea,5,SW1X 0BP,,,
5,4b2d10e0f964a5207fcd24e3,Partridges,2-5 Duke Of York Sq,,51.49063594914568,-0.16050186011887035,"[{'label': 'display', 'lat': 51.49063594914568, 'lng': -0.16050186011887035}]",Chelsea,6,SW3 4LY,,,
6,55197d88498e3f4d85dc801c,The Ivy Chelsea Garden,195 -197 King's Rd,,51.48703516703897,-0.16937881708145142,"[{'label': 'display', 'lat': 51.48703516703897, 'lng': -0.16937881708145142}]",Chelsea,7,SW3 5EQ,,,
7,5a26f1b82619ee3fcd50b351,EL&N,239 Brompton Rd,,51.4967279153951,-0.16865193843841553,"[{'label': 'display', 'lat': 51.4967279153951, 'lng': -0.16865193843841553}]",Chelsea,8,SW3 2EP,,,
8,5147302ee4b0c80a44b8f783,The Top Floor Restaurant,Peter Jones,,51.49234288284505,-0.15883016727662103,"[{'label': 'display', 'lat': 51.49234288284505, 'lng': -0.15883016727662103}]",Chelsea,9,,,,
9,4b9f9fbdf964a520ab2f37e3,McDonald's,49 KINGS ROAD,,51.48972,-0.16269,"[{'label': 'display', 'lat': 51.48972, 'lng': -0.16269}]",Chelsea,10,SW3 4ND,,,
10,4ac518e3f964a520ccaa20e3,Aubaine,260-262 Brompton Rd,,51.49411438288591,-0.1688028695637053,"[{'label': 'display', 'lat': 51.49411438288591, 'lng': -0.1688028695637053}]",Chelsea,11,SW3 2AS,,,
11,520a36a311d2bb0ce4817d3c,Pier Point Cafe,,,51.482052458149305,-0.15540177084557422,"[{'label': 'display', 'lat': 51.482052458149305, 'lng': -0.15540177084557422}]",Chelsea,12,,,,
12,4ba66c6bf964a520f85039e3,The Anglesea Arms,15 Selwood Terrace,,51.49019779831426,-0.1767369529460937,"[{'label': 'display', 'lat': 51.49019779831426, 'lng': -0.1767369529460937}]",Chelsea,13,SW7 3QG,,,
13,506ac702e4b0dcfc950fce65,Colbert,50-52 Sloane Sq,,51.492818,-0.156647,"[{'label': 'display', 'lat': 51.492818, 'lng': -0.156647}]",Chelsea,14,SW1W 8AX,,,
14,4b457611f964a520f70c26e3,Pret A Manger,15 Old Brompton Road,,51.49347034821103,-0.17421190016921217,"[{'label': 'display', 'lat': 51.49347034821103, 'lng': -0.17421190016921217}]",Chelsea,15,SW7 3HZ,,,
15,5d88970e4607fc000847a9f1,Vardo,9 Duke of York Sq,,51.491294,-0.160529,"[{'label': 'display', 'lat': 51.491294, 'lng': -0.160529}]",Chelsea,16,SW3 4LY,,,
16,4bcaf5f6fb84c9b63ff31d3e,Scalini,1-3 Walton St,,51.49596606497627,-0.16491196504928113,"[{'label': 'display', 'lat': 51.49596606497627, 'lng': -0.16491196504928113}]",Chelsea,17,SW3 2JD,,,
17,5505fc9c498e3c6d80c14204,L'Opera 2,232 Brompton Rd,,51.49615015722071,-0.16923658155755078,"[{'label': 'display', 'lat': 51.49615015722071, 'lng': -0.16923658155755078}]",Chelsea,18,SW3 2BB,,,
18,4b8678d8f964a5208f8b31e3,Phật Phúc Noodle Bar,151 Sydney St,,51.48761963217226,-0.16904402182939238,"[{'label': 'display', 'lat': 51.48761963217226, 'lng': -0.16904402182939238}]",Chelsea,19,SW3 6NT,,,
19,502148ece4b03d58caddf817,Carluccio's,1 Old Brompton Rd,,51.493583306246364,-0.1737439860747273,"[{'label': 'display', 'lat': 51.493583306246364, 'lng': -0.1737439860747273}]",Chelsea,20,SW7 3HZ,,,
20,56e1b38d498efdd0a3bc8789,Orée,275-277 Fulham Rd,,51.48759475620802,-0.1783229534204589,"[{'label': 'display', 'lat': 51.48759475620802, 'lng': -0.1783229534204589}]",Chelsea,21,SW10 9PZ,,,
21,50d73512e4b0487c3aff4916,GAIL's Bakery,209 Kings Rd,,51.48688252060945,-0.1700624201288212,"[{'label': 'display', 'lat': 51.48688252060945, 'lng': -0.1700624201288212}]",Chelsea,22,SW3 5ED,,,
22,4b12c38ef964a520a28d23e3,Thomas Cubitt,44 Elizabeth St,,51.493677241785285,-0.15079136257079706,"[{'label': 'display', 'lat': 51.493677241785285, 'lng': -0.15079136257079706}]",Chelsea,23,SW1W 9PA,,,
23,4bdc450b2a3a0f475e16b2b6,Paul,41 Thurloe St,,51.494326791480795,-0.17440015579424237,"[{'label': 'display', 'lat': 51.494326791480795, 'lng': -0.17440015579424237}]",Chelsea,24,SW7 2LQ,,,
24,56a0f338498ed17ca1cd609c,B Bagel Bakery Bar,236D Fulham Rd,,51.4850791715674,-0.18241640034416887,"[{'label': 'display', 'lat': 51.4850791715674, 'lng': -0.18241640034416887}]",Chelsea,25,SW10 9NB,,,
25,5bc1d72838f21600252afeea,Kahani,1 Wilbraham Place,,51.494005,-0.157339,"[{'label': 'display', 'lat': 51.494005, 'lng': -0.157339}]",Chelsea,26,SW1X 9AE,,,
26,5cacdfa27564f7002cef6b5e,50 Cheyne Walk,50 Cheyne Walk,,51.483475,-0.169513,"[{'label': 'display', 'lat': 51.483475, 'lng': -0.169513}]",Chelsea,27,SW3 5LR,,,
27,57e54aa6498ef2ad4b9d314d,The Locals Cafe,30 Gatliff Rd,,51.48772172677209,-0.1496739801579658,"[{'label': 'display', 'lat': 51.48772172677209, 'lng': -0.1496739801579658}]",Chelsea,28,SW1W 8QN,,,
28,591ab0c8872f7d23c69ada5c,Greggs,"Unit 1, Victoria Coach Station",,51.492118805514465,-0.14858193715630785,"[{'label': 'display', 'lat': 51.492118805514465, 'lng': -0.14858193715630785}]",Chelsea,29,SW1W 9TJ,,,
