,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country
32,4e14fed862e1c2c01928cda3,Q23 - Yellowstone Blvd & Burns St,Yellowstone Blvd,,40.72188504484907,-73.85303162353432,"[{'label': 'display', 'lat': 40.72188504484907, 'lng': -73.85303162353432}]",Kew Gardens Hills,33,,,,,
33,4cfa6a83c671721ee93cbd18,"MTA NYCT Q46 MTABus QM1, QM5, QM6, QM7, QM8, QM31, QM35, QM36 (Union Turnpike/164 St)",Union Turnpike & 164 St,,40.72166468965563,-73.80428992540287,"[{'label': 'display', 'lat': 40.72166468965563, 'lng': -73.80428992540287}]",Kew Gardens Hills,34,,,,,
34,4c5d72702815c928a3bdb467,138st Jewel Ave bus stop,Jewel ave,138st,40.72880316387435,-73.828676190432,"[{'label': 'display', 'lat': 40.72880316387435, 'lng': -73.828676190432}]",Kew Gardens Hills,35,,,,,
35,53d976a211d2d2712d1bfdfa,Wheel Fun Rentals,Meadow Lake Road W,,40.739149514377374,-73.84112812117233,"[{'label': 'display', 'lat': 40.739149514377374, 'lng': -73.84112812117233}]",Kew Gardens Hills,36,,,,,
36,5cef4604af35f300268e7bb2,Umbrella Hotel Queens Airports,124-18 Queen Boulevard,Queens County,40.712544,-73.827701,"[{'label': 'display', 'lat': 40.712544, 'lng': -73.827701}]",Kew Gardens Hills,37,,,,,
37,4f4680e0e4b03de9894ec3da,"MTABus Q64, QM4, QM44 (Jewel Ave/150th Street)",,,40.731291407758256,-73.81928443908691,"[{'label': 'display', 'lat': 40.731291407758256, 'lng': -73.81928443908691}]",Kew Gardens Hills,38,,,,,
38,4bc41a77dce4eee1a4f0719d,KEW Motor Inn,13901 Grand Central Pkwy,@ Union Tpke,40.716985833796144,-73.81868715954363,"[{'label': 'display', 'lat': 40.716985833796144, 'lng': -73.81868715954363}, {'label': 'entrance', 'lat': 40.716959, 'lng': -73.818676}]",Kew Gardens Hills,39,,,,,
39,5953d49b2aff315f808597c8,Mta Bus Stop - Q10 Lefferts Blvd And Austin St,Lefferts Blvd,Austin St,40.709392,-73.82948,"[{'label': 'display', 'lat': 40.709392, 'lng': -73.82948}]",Kew Gardens Hills,40,,,,,
40,59a1da301c0b3419a51df930,MTABus Q64 (Queens Blvd/70 Road),,,40.72142,-73.844475,"[{'label': 'display', 'lat': 40.72142, 'lng': -73.844475}]",Kew Gardens Hills,41,,,,,
41,52f5baef498edc88d08b9512,"Q17, Q88 Bus Stop (Horace Harding Expressway & Parsons Blvd)",,,40.73598836188176,-73.81057699178533,"[{'label': 'display', 'lat': 40.73598836188176, 'lng': -73.81057699178533}]",Kew Gardens Hills,42,,,,,
42,4e6e8bb6899874d99266b148,"Q64, QM4, QM44 Bus Stop (Jewel Avenue & Parsons Blvd)",,,40.732275237293294,-73.810789174604,"[{'label': 'display', 'lat': 40.732275237293294, 'lng': -73.810789174604}]",Kew Gardens Hills,43,,,,,
43,59238c3212f0a93178c7dea1,MTA Bus Stop Q65 Jewel Ave & 71st Ave,,,40.73017,-73.80513,"[{'label': 'display', 'lat': 40.73017, 'lng': -73.80513}]",Kew Gardens Hills,44,,,,,
44,4cbedb7a575d236a182dbb8e,MTA - Q44/Q20 Bus Stop,62-29 Main St,,40.741620079738446,-73.82520122661553,"[{'label': 'display', 'lat': 40.741620079738446, 'lng': -73.82520122661553}]",Kew Gardens Hills,45,,,,,
